cod_dep,departamento,codigo,municipio,2019,2017,2015,2015
16,Alta Verapaz,1614,Chahal,"37,50","50,00","38,50","72,18"
16,Alta Verapaz,1613,Chisec,"72,50","81,25","0,00","6,67"
16,Alta Verapaz,1601,Cobán,"60,00","0,00","0,00","88,64"
16,Alta Verapaz,1615,Fray Bartolomé de las Casas,"91,25","57,14","64,81","87,67"
16,Alta Verapaz,1607,Panzós,"83,75","0,00","0,00","6,82"
16,Alta Verapaz,1617,Raxruhá,"68,42","25,00","19,38","69,42"
16,Alta Verapaz,1611,San Agustín Lanquín,"65,00","78,57","0,00","55,45"
16,Alta Verapaz,1608,Senahú,"78,75","0,00",,
16,Alta Verapaz,1603,San Cristóbal Verapaz,"61,25","0,00",,
16,Alta Verapaz,1610,San Juan Chamelco,"78,75","0,00","0,00","64,18"
16,Alta Verapaz,1606,San Miguel Tucurú,"47,50","57,14",,
16,Alta Verapaz,1609,San Pedro Carchá,"30,00","55,00","41,02","77,62"
16,Alta Verapaz,1616,Santa Catalina La Tinta,"34,21","33,33","0,00","45,83"
16,Alta Verapaz,1602,Santa Cruz Verapaz,"80,00","20,00","7,50","75,54"
16,Alta Verapaz,1612,Santa María Cahabón,"88,75","0,00",,
16,Alta Verapaz,1604,Tactic,"93,75","25,00","64,48","81,50"
16,Alta Verapaz,1605,Tamahú,"90,00","30,00",,
15,Baja Verapaz,1504,Cubulco,"86,36","0,00","0,00","88,52"
15,Baja Verapaz,1505,Granados,"85,71","0,00","0,00","78,07"
15,Baja Verapaz,1508,Purulhá,"72,73","0,00",,
15,Baja Verapaz,1503,Rabinal,"54,05","0,00",,
15,Baja Verapaz,1501,Salamá,"82,26","0,00",,
15,Baja Verapaz,1507,San Jerónimo,"74,19","64,29","0,00","72,70"
15,Baja Verapaz,1502,San Miguel Chicaj,"26,39","0,00","0,00","75,91"
15,Baja Verapaz,1506,Santa Cruz El Chol,"82,12","85,71","26,44","75,89"
4,Chimaltenango,411,Acatenango,"12,50","5,00","2,50","53,45"
4,Chimaltenango,401,Chimaltenango,"8,11","28,57",,
4,Chimaltenango,416,El Tejar,"25,00","0,00",,
4,Chimaltenango,414,Parramos,"21,21","5,00","0,00","69,73"
4,Chimaltenango,409,Patzicía,"38,16","25,00","0,00","16,98"
4,Chimaltenango,407,Patzún,"0,00","0,00",,
4,Chimaltenango,413,San Andrés Itzapa,"13,51","0,00","0,00","41,48"
4,Chimaltenango,402,San José Poaquil,"5,26","0,00",,
4,Chimaltenango,404,San Juan Comalapa,"0,00","0,00",,
4,Chimaltenango,403,San Martín Jilotepeque,"33,78","25,00","0,00","80,83"
4,Chimaltenango,408,San Miguel Pochuta,"0,00","0,00","0,00","79,88"
4,Chimaltenango,412,San Pedro Yepocapa,"14,47","0,00","0,00","28,78"
4,Chimaltenango,405,Santa Apolonia,"11,84","0,00",,
4,Chimaltenango,410,Santa Cruz Balanyá,"5,41","0,00",,
4,Chimaltenango,406,Tecpán Guatemala,"28,95","0,00",,
4,Chimaltenango,415,Zaragoza,"68,42","33,33","0,00","70,22"
20,Chiquimula,2005,Camotán,"6,25","0,00","0,00","73,86"
20,Chiquimula,2001,Chiquimula,"44,12","25,00","0,00","64,47"
20,Chiquimula,2008,Concepción las Minas,"51,32","0,00",,
20,Chiquimula,2007,Esquipulas,"60,53","59,52",,
20,Chiquimula,2011,Ipala,"38,16","68,75",,
20,Chiquimula,2004,Jocotán,"61,84","0,00",,
20,Chiquimula,2006,Olopa,"47,14","0,00","0,00","53,49"
20,Chiquimula,2009,Quezaltepeque,"71,05","43,75",,
20,Chiquimula,2010,San Jacinto,"23,68","0,00","20,27","50,00"
20,Chiquimula,2002,San José La Arada,"44,74","0,00","6,25","85,42"
20,Chiquimula,2003,San Juan Ermita,"82,00","25,00","0,00","79,48"
2,El Progreso,205,El Jícaro,"51,97","0,00",,
2,El Progreso,201,Guastatoya,"88,57","44,44",,
2,El Progreso,202,Morazán,"78,57","0,00",,
2,El Progreso,203,San Agustín Acasaguastlán,"8,11","0,00",,
2,El Progreso,208,San Antonio La Paz,"15,79","0,00",,
2,El Progreso,204,San Cristóbal Acasaguastlán,"38,57","0,00",,
2,El Progreso,207,Sanarate,"10,53","0,00",,
2,El Progreso,206,Sansare,"44,59","0,00",,
5,Escuintla,501,Escuintla,"47,37","45,00","11,25","57,24"
5,Escuintla,508,Guanagazapa,"0,00","0,00",,
5,Escuintla,510,Iztapa,"26,32","0,00",,
5,Escuintla,503,La Democracia,"2,63","0,00",,
5,Escuintla,507,La Gomera,"75,00","0,00",,
5,Escuintla,505,Masagua,"35,00","85,71",,
5,Escuintla,513,Nueva Concepción,"22,37","50,00",,
5,Escuintla,511,Palín,"0,00","0,00",,
5,Escuintla,509,San José,"17,11","0,00",,
5,Escuintla,512,San Vicente Pacaya,"0,00","0,00",,
5,Escuintla,502,Santa Lucía Cotzulmalguapa,"26,32","9,09",,
5,Escuintla,514,Sipacate,"65,38","64,29",,
5,Escuintla,504,Siquinalá,"0,00","10,00","6,25","84,21"
5,Escuintla,506,Tiquisate,"21,21","44,44","0,00","11,11"
1,Guatemala,114,Amatitlán,"33,33","61,11","10,00","11,11"
1,Guatemala,106,Chinautla,"33,33","44,44","10,00","6,70"
1,Guatemala,112,Chuarrancho,"31,25","35,00","0,00","71,31"
1,Guatemala,113,Fraijanes,"44,74","83,33","29,42","73,08"
1,Guatemala,101,Guatemala,"67,94","83,33","95,72","90,40"
1,Guatemala,108,Mixco,"58,33","35,71","8,13","25,61"
1,Guatemala,105,Palencia,"55,00","64,29","26,56","55,75"
1,Guatemala,104,San José del Golfo,"79,73","100,00","0,00","27,78"
1,Guatemala,103,San José Pinula,"63,24","85,71","7,50","79,70"
1,Guatemala,110,San Juan Sacatepéquez,"10,53","56,25","77,19","58,96"
1,Guatemala,117,San Miguel Petapa,"26,92","35,00","7,50","0,00"
1,Guatemala,107,San Pedro Ayampuc,"61,43","71,43","0,00","22,22"
1,Guatemala,109,San Pedro Sacatepéquez,"47,30","81,25","12,97","48,42"
1,Guatemala,111,San Raymundo,"89,39","35,71","0,00","53,26"
1,Guatemala,102,Santa Catarina Pinula,"63,89","75,00","87,34","86,11"
1,Guatemala,116,Villa Canales,"54,55","68,75","44,75","49,00"
1,Guatemala,115,Villa Nueva,"72,06","61,11","55,12","77,70"
13,Huehuetenango,1327,Aguacatán,"61,25","45,00","0,00","47,26"
13,Huehuetenango,1302,Chiantla,"17,50","0,00",,
13,Huehuetenango,1319,Colotenango,"0,00","0,00","0,00","84,74"
13,Huehuetenango,1322,Concepción Huista,"20,59","38,89","0,00","66,81"
13,Huehuetenango,1304,Cuilco,"87,88","0,00",,
13,Huehuetenango,1301,Huehuetenango,"52,56","30,00",,
13,Huehuetenango,1307,Jacaltenango,"47,06","38,89",,
13,Huehuetenango,1312,La Democracia,"63,79","44,44","2,50","68,63"
13,Huehuetenango,1311,La Libertad,"31,82","0,00","0,00","72,32"
13,Huehuetenango,1303,Malacatancito,"61,54","0,00",,
13,Huehuetenango,1305,Nentón,"23,53","15,00","0,00","60,83"
13,Huehuetenango,1333,Petatán,"43,55","15,00",,
13,Huehuetenango,1324,San Antonio Huista,"48,48","0,00","0,00","29,25"
13,Huehuetenango,1329,San Gaspar Ixchil,"67,19","0,00",,
13,Huehuetenango,1309,San Idelfonso Ixtahuacán,"53,13","45,00",,
13,Huehuetenango,1316,San Juan Atitán,"21,79","38,89","0,00","78,48"
13,Huehuetenango,1323,San Juan Ixcoy,"0,00","0,00",,
13,Huehuetenango,1318,San Mateo Ixtatán,"0,00","0,00",,
13,Huehuetenango,1313,San Miguel Acatán,"48,48","20,00","0,00","30,31"
13,Huehuetenango,1306,San Pedro Necta,"19,23","0,00",,
13,Huehuetenango,1308,San Pedro Soloma,"11,11","0,00",,
13,Huehuetenango,1314,San Rafael La Independencia,"20,97","10,00","0,00","30,68"
13,Huehuetenango,1328,San Rafael Pétzal,"22,22","20,00","0,00","11,31"
13,Huehuetenango,1325,San Sebastián Coatán,"12,12","45,00","0,00","24,54"
13,Huehuetenango,1320,San Sebastián Huehuetenango,"14,29","25,00","0,00","52,03"
13,Huehuetenango,1331,Santa Ana Huista,"17,11","0,00","0,00","84,09"
13,Huehuetenango,1310,Santa Bárbara,"68,18","10,00",,
13,Huehuetenango,1326,Barillas,"0,00","0,00","0,00","55,37"
13,Huehuetenango,1317,Santa Eulalia,"5,26","0,00",,
13,Huehuetenango,1330,Santiago Chimaltenango,"40,91","0,00","0,00","68,47"
13,Huehuetenango,1321,Tectitán,"16,25","10,00","0,00","65,18"
13,Huehuetenango,1315,Todos Santos Cuchumatán,"39,66","0,00",,
13,Huehuetenango,1332,Unión Cantinil,"27,59","27,78","0,00","60,28"
18,Izabal,1803,El Estor,"62,16","51,85",,
18,Izabal,1802,Livingston,"62,50","0,00",,
18,Izabal,1805,Los Amates,"86,76","40,00","0,00","76,11"
18,Izabal,1804,Morales,"13,75","0,00",,
18,Izabal,1801,Puerto Barrios,"65,63","0,00","27,85","11,11"
21,Jalapa,2101,Jalapa,"23,68","0,00",,
21,Jalapa,2107,Mataquescuintla,"89,47","0,00","0,00","41,60"
21,Jalapa,2106,Monjas,"68,75","40,00","0,00","20,45"
21,Jalapa,2105,San Carlos Alzatate,"40,54","0,00",,
21,Jalapa,2103,San Luis Jilotepeque,"18,42","35,00","0,00","73,26"
21,Jalapa,2104,San Manuel Chaparrón,"71,05","0,00","0,00","20,83"
21,Jalapa,2102,San Pedro Pinula,"12,16","0,00","0,00","0,00"
22,Jutiapa,2204,Agua Blanca,"90,54","75,00","13,75","83,33"
22,Jutiapa,2205,Asunción Mita,"76,25","18,75","8,75","88,08"
22,Jutiapa,2207,Atescatempa,"67,57","57,14","9,11","76,19"
22,Jutiapa,2211,Comapa,"11,25","25,00","0,00","81,08"
22,Jutiapa,2213,Conguaco,"86,84","6,06",,
22,Jutiapa,2209,El Adelanto,"71,25","14,29","0,00","90,23"
22,Jutiapa,2202,El Progreso,"92,31","0,00",,
22,Jutiapa,2212,Jalpatagua,"75,00","6,06",,
22,Jutiapa,2208,Jerez,"81,58","64,29","47,99","87,32"
22,Jutiapa,2201,Jutiapa,"55,00","24,31",,
22,Jutiapa,2214,Moyuta,"78,75","0,00",,
22,Jutiapa,2215,Pasaco,"25,00","0,00","0,00","84,62"
22,Jutiapa,2217,Quesada,"62,50","50,00","0,00","85,00"
22,Jutiapa,2216,San José Acatempa,"42,50","42,86","0,00","79,49"
22,Jutiapa,2203,Santa Catarina Mita,"50,00","42,86","2,50","94,50"
22,Jutiapa,2206,Yupiltepeque,"79,49","35,71","60,20","83,98"
22,Jutiapa,2210,Zapotitlán,"83,75","35,71","0,00","95,24"
17,Petén,1708,Dolores,"36,84","0,00",,
17,Petén,1714,El Chal,"71,25","20,00","0,00","8,89"
17,Petén,1701,Flores,"27,42","50,00",,
17,Petén,1705,La Libertad,"7,89","0,00","0,00","80,80"
17,Petén,1713,Las Cruces,"7,50","0,00","0,00","67,44"
17,Petén,1711,Melchor de Mencos,"24,36","0,00",,
17,Petén,1712,Poptún,"44,74","0,00",,
17,Petén,1704,San Andrés,"76,47","56,25","0,00","80,00"
17,Petén,1703,San Benito,"42,31","20,00",,
17,Petén,1706,San Francisco,"23,75","0,00",,
17,Petén,1702,San José,"0,00","0,00","0,00","70,28"
17,Petén,1709,San Luis,"12,50","0,00",,
17,Petén,1707,Santa Ana,"0,00","15,00","0,00","50,00"
17,Petén,1710,Sayaxché,"7,50","0,00","0,00","61,11"
9,Quetzaltenango,913,Almolonga,"22,50","25,00","44,38","74,02"
9,Quetzaltenango,906,Cabricán,"58,33","0,00","0,00","75,00"
9,Quetzaltenango,907,Cajolá,"0,00","0,00",,
9,Quetzaltenango,914,Cantel,"78,95","0,00",,
9,Quetzaltenango,920,Coatepeque,"21,25","30,00","0,00","32,35"
9,Quetzaltenango,917,Colomba,"13,24","0,00","0,00","38,91"
9,Quetzaltenango,911,Concepción Chiquirichapa,"82,50","60,00","34,69","75,76"
9,Quetzaltenango,919,El Palmar,"80,00","80,00","0,00","73,17"
9,Quetzaltenango,922,Flores Costa Cuca,"2,70","0,00","0,00","56,42"
9,Quetzaltenango,921,Génova,"0,00","56,25","0,00","45,25"
9,Quetzaltenango,915,Huitán,"72,50","50,00","0,00","0,00"
9,Quetzaltenango,923,La Esperanza,"47,50","30,00","0,00","62,22"
9,Quetzaltenango,903,Olintepeque,"88,75","0,00","10,00","86,17"
9,Quetzaltenango,924,Palestina de los Altos,"76,32","0,00",,
9,Quetzaltenango,901,Quetzaltenango,"43,75","40,00",,
9,Quetzaltenango,902,Salcajá,"71,05","56,25","0,00","86,33"
9,Quetzaltenango,904,San Carlos Sija,"35,00","15,00","0,00","78,47"
9,Quetzaltenango,918,San Francisco La Unión,"22,50","0,00",,
9,Quetzaltenango,909,San Juan Ostuncalco,"84,21","0,00",,
9,Quetzaltenango,912,San Martín Sacatepéquez,"0,00","55,56",,
9,Quetzaltenango,910,San Mateo,"30,00","0,00",,
9,Quetzaltenango,908,San Miguel Sigüila,"0,00","0,00",,
9,Quetzaltenango,905,Sibilia,"88,75","75,00","27,78","86,87"
9,Quetzaltenango,916,Zunil,"0,00","10,00",,
14,Quiché,1418,Canillá,"43,75","0,00","0,00","95,24"
14,Quiché,1405,Chajul,"10,53","0,00",,
14,Quiché,1419,Chicamán,"51,61","64,29","0,00","58,21"
14,Quiché,1402,Chiché,"62,12","0,00","0,00","47,54"
14,Quiché,1406,Chichicastenango,"71,88","50,00","0,00","45,51"
14,Quiché,1403,Chinique,"17,19","10,00",,
14,Quiché,1410,Cunén,"50,00","0,00","0,00","35,79"
14,Quiché,1412,Joyabaj,"21,25","0,00","0,00","94,99"
14,Quiché,1421,Pachalum,"81,03","25,00","3,13","88,34"
14,Quiché,1407,Patzité,"16,67","30,00",,
14,Quiché,1420,Ixcán,"21,62","44,44",,
14,Quiché,1416,Sacapulas,"46,05","10,00","0,00","78,05"
14,Quiché,1414,San Andrés Sajcabajá,"45,31","10,00","0,00","87,30"
14,Quiché,1408,San Antonio Ilotenango,"40,00","58,33",,
14,Quiché,1417,San Bartolomé Jocotenango,"27,78","0,00",,
14,Quiché,1411,San Juan Cotzal,"45,71","20,00",,
14,Quiché,1415,San Miguel Uspantán,"7,89","25,00","0,00","35,71"
14,Quiché,1409,San Pedro Jocopilas,"5,13","10,00",,
14,Quiché,1401,Santa Cruz del Quiché,"13,75","25,00",,
14,Quiché,1413,Nebaj,"81,25","38,89","0,00","39,39"
14,Quiché,1404,Zacualpa,"5,26","35,00","0,00","50,00"
11,Retalhuleu,1107,Champerico,"20,00","0,00",,
11,Retalhuleu,1109,El Asintal,"0,00","0,00","0,00","37,04"
11,Retalhuleu,1108,Nuevo San Carlos,"44,74","0,00","0,00","76,85"
11,Retalhuleu,1101,Retalhuleu,"23,08","20,00",,
11,Retalhuleu,1106,San Andrés Villa Seca,"2,50","0,00","0,00","66,86"
11,Retalhuleu,1105,San Felipe Retalhuleu,"15,00","0,00",,
11,Retalhuleu,1104,San Martín Zapotitlán,"0,00","0,00",,
11,Retalhuleu,1102,San Sebastián,"47,50","0,00","0,00","82,18"
11,Retalhuleu,1103,Santa Cruz Muluá,"46,25","0,00",,
3,Sacatepéquez,301,Antigua Guatemala,"56,25","64,29",,
3,Sacatepéquez,312,Ciudad Vieja,"41,03","0,00",,
3,Sacatepéquez,302,Jocotenango,"30,00","25,00","0,00","94,10"
3,Sacatepéquez,310,Magdalena Milpas Altas,"0,00","0,00","0,00","87,01"
3,Sacatepéquez,303,Pastores,"76,25","50,00","0,00","92,03"
3,Sacatepéquez,315,San Antonio Aguas Calientes,"7,50","0,00","0,00","85,27"
3,Sacatepéquez,307,San Bartolomé Milpas Altas,"0,00","55,10",,
3,Sacatepéquez,314,Alotenango,"37,50","25,00","0,00","87,49"
3,Sacatepéquez,308,San Lucas Sacatepéquez,"72,97","0,00",,
3,Sacatepéquez,313,San Miguel Dueñas,"5,13","0,00","11,25","82,96"
3,Sacatepéquez,316,Santa Catarina Barahona,"52,86","20,00","17,50","85,39"
3,Sacatepéquez,309,Santa Lucía Milpas Altas,"0,00","55,56","28,04","91,40"
3,Sacatepéquez,311,Santa María de Jesús,"0,00","0,00","0,00","85,93"
3,Sacatepéquez,306,Santiago Sacatepéquez,"97,50","10,00",,
3,Sacatepéquez,305,Santo Domingo Xenacoj,"0,00","17,86",,
3,Sacatepéquez,304,Sumpango,"91,25","50,00","0,00","87,07"
12,San Marcos,1217,Ayutla,"0,00","25,00","0,00","87,16"
12,San Marcos,1216,Catarina,"50,00","25,00","0,00","76,88"
12,San Marcos,1204,Comitancillo,"37,50","0,00","0,00","44,72"
12,San Marcos,1206,Concepción Tutuapa,"23,68","15,00","0,00","49,56"
12,San Marcos,1220,El Quetzal,"22,73","35,00","0,00","47,11"
12,San Marcos,1213,El Tumbador,"5,00","0,00","10,00","76,82"
12,San Marcos,1227,Esquipulas Palo Gordo,"0,00","0,00","0,00","87,19"
12,San Marcos,1223,Ixchiguán,"61,25","5,00","0,00","50,28"
12,San Marcos,1230,La Blanca,"27,63","0,00","0,00","16,56"
12,San Marcos,1221,La Reforma,"33,33","55,56",,
12,San Marcos,1215,Malacatán,"13,75","0,00",,
12,San Marcos,1212,Nuevo Progreso,"64,47","0,00","0,00","42,82"
12,San Marcos,1218,Ocós,"13,16","35,00",,
12,San Marcos,1222,Pajapita,"13,16","5,00",,
12,San Marcos,1228,Río Blanco,"0,00","20,00","0,00","38,33"
12,San Marcos,1203,San Antonio Sacatepéquez,"26,32","60,00","0,00","83,95"
12,San Marcos,1225,San Cristóbal Cucho,"87,50","5,00",,
12,San Marcos,1214,El Rodeo,"5,00","0,00","0,00","0,00"
12,San Marcos,1224,San José Ojetenam,"0,00","0,00",,
12,San Marcos,1229,San Lorenzo,"5,00","0,00",,
12,San Marcos,1201,San Marcos,"37,50","30,00",,
12,San Marcos,1205,San Miguel Ixtahuacán,"26,25","5,00","5,00","92,54"
12,San Marcos,1219,San Pablo,"0,00","0,00","0,00","57,78"
12,San Marcos,1202,San Pedro Sacatepéquez,"9,21","0,00","26,18","53,49"
12,San Marcos,1211,San Rafael Pie de la Cuesta,"0,00","0,00","0,00","17,78"
12,San Marcos,1208,Sibinal,"31,58","0,00","0,00","25,48"
12,San Marcos,1226,Sipacapa,"20,00","0,00","0,00","0,00"
12,San Marcos,1207,Tacaná,"73,68","35,00","0,00","70,56"
12,San Marcos,1209,Tajumulco,"5,00","0,00","0,00","6,67"
12,San Marcos,1210,Tejutla,"11,25","25,00","0,00","35,56"
6,Santa Rosa,602,Barberena,"68,97","0,00","0,00","84,91"
6,Santa Rosa,604,Casillas,"48,65","0,00","0,00","79,12"
6,Santa Rosa,608,Chiquimulilla,"36,67","0,00",,
6,Santa Rosa,601,Cuilapa,"66,00","0,00","0,00","36,82"
6,Santa Rosa,611,Guazacapán,"22,06","0,00",,
6,Santa Rosa,614,Nueva Santa Rosa,"59,09","30,00","33,15","71,07"
6,Santa Rosa,606,Oratorio,"66,18","0,00",,
6,Santa Rosa,613,Pueblo Nuevo Viñas,"20,00","43,75","0,00","13,33"
6,Santa Rosa,607,San Juan Tecuaco,"40,00","0,00",,
6,Santa Rosa,605,San Rafael Las Flores,"41,03","22,72",,
6,Santa Rosa,612,Santa Cruz Naranjo,"40,00","0,00","2,50","72,58"
6,Santa Rosa,610,Santa María Ixhuatán,"52,78","0,00","2,50","72,79"
6,Santa Rosa,603,Santa Rosa de Lima,"62,50","18,18",,
6,Santa Rosa,609,Taxisco,"35,29","0,00",,
7,Sololá,708,Concepción,"13,16","0,00","0,00","10,26"
7,Sololá,705,Nahualá,"41,89","40,00","44,62","62,50"
7,Sololá,710,Panajachel,"10,81","0,00",,
7,Sololá,709,San Andrés Semetabaj,"0,00","0,00",,
7,Sololá,712,San Antonio Palopó,"15,79","0,00",,
7,Sololá,702,San José Chacayá,"7,50","0,00",,
7,Sololá,717,San Juan La Laguna,"0,00","0,00","0,00","78,13"
7,Sololá,713,San Lucas Tolimán,"32,43","5,00","0,00","46,67"
7,Sololá,716,San Marcos La Laguna,"71,62","0,00",,
7,Sololá,715,San Pablo La Laguna,"11,25","0,00","0,00","76,39"
7,Sololá,718,San Pedro La Laguna,"52,56","30,00","27,19","50,83"
7,Sololá,706,Santa Catarina Ixtahuacán,"0,00","26,77",,
7,Sololá,711,Santa Catarina Palopó,"7,89","0,00",,
7,Sololá,707,Santa Clara La Laguna,"55,13","0,00","0,00","88,64"
7,Sololá,714,Santa Cruz La Laguna,"0,00","0,00",,
7,Sololá,704,Santa Lucía Utatlán,"7,89","10,00",,
7,Sololá,703,Santa María Visitación,"77,78","30,00","0,00","88,64"
7,Sololá,719,Santiago Atitlán,"0,00","40,00","5,00","38,10"
7,Sololá,701,Sololá,"17,50","0,00",,
10,Suchitepéquez,1013,Chicacao,"40,79","0,00",,
10,Suchitepéquez,1002,Cuyotenango,"75,00","0,00",,
10,Suchitepéquez,1001,Mazatenango,"34,72","0,00",,
10,Suchitepéquez,1014,Patulul,"10,53","0,00","0,00","12,50"
10,Suchitepéquez,1019,Pueblo Nuevo,"42,11","0,00","0,00","24,69"
10,Suchitepéquez,1020,Río Bravo,"23,68","35,00",,
10,Suchitepéquez,1008,Samayac,"34,21","10,00",,
10,Suchitepéquez,1010,San Antonio Suchitepéquez,"68,42","21,59",,
10,Suchitepéquez,1004,San Bernardino,"0,00","0,00",,
10,Suchitepéquez,1003,San Francisco Zapotitlán,"22,97","0,00",,
10,Suchitepéquez,1012,San Gabriel,"52,63","0,00","0,00","64,45"
10,Suchitepéquez,1005,San José El Ídolo,"85,53","5,00","0,00","18,53"
10,Suchitepéquez,1021,San José La Máquina,"92,11","20,00","0,00","30,51"
10,Suchitepéquez,1016,San Juan Bautista,"76,32","56,25","15,20","65,23"
10,Suchitepéquez,1007,San Lorenzo,"14,47","0,00","0,00","0,00"
10,Suchitepéquez,1011,San Miguel Panán,"9,46","0,00","0,00","18,52"
10,Suchitepéquez,1009,San Pablo Jocopilas,"8,33","0,00",,
10,Suchitepéquez,1015,Santa Bárbara,"76,23","25,00","0,00","70,75"
10,Suchitepéquez,1006,Santo Domingo Suchitepéquez,"6,94","0,00","0,00","57,65"
10,Suchitepéquez,1017,Santo Tomas La Unión,"78,95","0,00","0,00","56,54"
10,Suchitepéquez,1018,Zunilito,"76,32","0,00","0,00","88,70"
8,Totonicapán,805,Momostenango,"93,94","20,00","0,00","93,18"
8,Totonicapán,804,San Andrés Xecul,"87,50","0,00",,
8,Totonicapán,808,San Bartolo Aguas Calientes,"93,06","0,00",,
8,Totonicapán,802,San Cristóbal Totonicapán,"96,77","27,78",,
8,Totonicapán,803,San Francisco El Alto,"84,85","20,00","0,00","91,09"
8,Totonicapán,807,Santa Lucía La Reforma,"53,33","0,00","0,00","95,45"
8,Totonicapán,806,Santa María Chiquimula,"78,57","37,50",,
8,Totonicapán,801,Totonicapán,"95,71","0,00",,
19,Zacapa,1907,Cabañas,"75,76","33,33",,
19,Zacapa,1902,Estanzuela,"0,00","0,00",,
19,Zacapa,1904,Gualán,"70,97","9,09",,
19,Zacapa,1910,Huité,"66,67","9,09",,
19,Zacapa,1909,La Unión,"74,07","0,00",,
19,Zacapa,1903,Río Hondo,"0,00","0,00",,
19,Zacapa,1908,San Diego,"0,00","0,00",,
19,Zacapa,1911,San Jorge,"27,78","0,00",,
19,Zacapa,1905,Teculután,"76,56","0,00",,
19,Zacapa,1906,Usumatlán,"82,26","0,00",,
19,Zacapa,1901,Zacapa,"35,53","0,00",,